iter	Logloss
0	0.6912880508
1	0.6886057299
2	0.6865298249
3	0.6838934416
4	0.6820132879
5	0.6799824817
6	0.6776338541
7	0.6759986797
8	0.6740943312
9	0.6716908622
10	0.6698834216
11	0.6679822345
12	0.6658425845
13	0.6637384846
14	0.6618838804
15	0.6604097459
16	0.6585061071
17	0.6571984321
18	0.6551756264
19	0.6533079248
20	0.6517277207
21	0.6499045374
22	0.6485558282
23	0.6470039481
24	0.6450931476
25	0.6434306171
26	0.6420010653
27	0.6405817076
28	0.6380416515
29	0.6361619494
30	0.6345220005
31	0.6334087864
32	0.6321611142
33	0.6310860954
34	0.6295594423
35	0.628321319
36	0.6268830572
37	0.6252231074
38	0.624332807
39	0.623191527
40	0.6216320981
41	0.6204559133
42	0.6188097061
43	0.6175068055
44	0.6164190119
45	0.6146273784
46	0.6135657796
47	0.6126710275
48	0.6115594263
49	0.6104216303
50	0.6090693081
51	0.6079115112
52	0.6066128043
53	0.6055570768
54	0.604359407
55	0.6034076199
56	0.6024319606
57	0.6012437107
58	0.6003136665
59	0.5996076975
60	0.5985566799
61	0.5976878644
62	0.596684591
63	0.5951300655
64	0.5940678215
65	0.5928971208
66	0.5915981559
67	0.5904293262
68	0.5896536765
69	0.5882980637
70	0.5875027356
71	0.5862208683
72	0.58555774
73	0.5849782286
74	0.5839975369
75	0.5832084672
76	0.5822055809
77	0.5812864404
78	0.5806342159
79	0.5797911436
80	0.5780588678
81	0.5771908266
82	0.5763247855
83	0.5750704033
84	0.5743177224
85	0.573092503
86	0.5720570345
87	0.5713337098
88	0.5704714753
89	0.568813074
90	0.5674901724
91	0.5660736536
92	0.5650190874
93	0.5642104038
94	0.5634560454
95	0.5624794829
96	0.5615732463
97	0.5608050808
98	0.5600553033
99	0.5592545556
100	0.5584367103
101	0.5575920895
102	0.5559439468
103	0.5550309357
104	0.5539419162
105	0.5528838015
106	0.5521944139
107	0.5511522354
108	0.5503721983
109	0.5489716157
110	0.5480804766
111	0.5470945588
112	0.5462731005
113	0.5453278298
114	0.5446248286
115	0.5439431188
116	0.5427647403
117	0.5419354106
118	0.5409515252
119	0.5396384951
120	0.5386638359
121	0.5375239108
122	0.536668838
123	0.5358691871
124	0.5349065607
125	0.5340196154
126	0.5332501595
127	0.5328264297
128	0.5320040358
129	0.5309916329
130	0.5299542611
131	0.5292726158
132	0.5283615403
133	0.5275006607
134	0.5265157752
135	0.525756094
136	0.5251410002
137	0.5242474094
138	0.5235203426
139	0.522638333
140	0.5215642498
141	0.5206568518
142	0.5199488827
143	0.5190397428
144	0.5183723563
145	0.5177866833
146	0.5171860419
147	0.516632822
148	0.5158552045
149	0.5148943847
150	0.5140110524
151	0.5132335961
152	0.5125506605
153	0.5118486271
154	0.5109985223
155	0.5103886223
156	0.5095594217
157	0.508466273
158	0.507581231
159	0.5070283983
160	0.5061493888
161	0.5054619368
162	0.5045746043
163	0.5039637366
164	0.5034972628
165	0.5027491628
166	0.501939705
167	0.5013623873
168	0.5007609716
169	0.5001578139
170	0.49955785
171	0.4987842971
172	0.4976225323
173	0.4970893134
174	0.4963897641
175	0.4957442495
176	0.495206353
177	0.494500997
178	0.4940406203
179	0.4935288218
180	0.4930017967
181	0.4924005424
182	0.4916677979
183	0.4911893558
184	0.4904654827
185	0.4900623023
186	0.4894351112
187	0.4889077314
188	0.4884283215
189	0.4879325238
190	0.4874081118
191	0.4866373655
192	0.4856313822
193	0.4849584471
194	0.4843423855
195	0.483455666
196	0.4827096951
197	0.4821908963
198	0.4815121866
199	0.4807065032
200	0.4801251208
201	0.4795265762
202	0.4788877394
203	0.4784878172
204	0.4779454044
205	0.4774768983
206	0.4768236092
207	0.4762930033
208	0.4756612314
209	0.4749722955
210	0.4743046831
211	0.4735718419
212	0.4728499366
213	0.4720971267
214	0.4715831345
215	0.4706537033
216	0.4701325173
217	0.4695858461
218	0.4689663006
219	0.4685005365
220	0.4678580867
221	0.4671037928
222	0.4660800668
223	0.4658040859
224	0.46486388
225	0.4643854057
226	0.4636118205
227	0.4628990448
228	0.4622947257
229	0.4620497464
230	0.4615935312
231	0.4609955995
232	0.460515609
233	0.4601001377
234	0.4593620058
235	0.4588483685
236	0.4583049234
237	0.457489175
238	0.4568521447
239	0.4563270553
240	0.4557946752
241	0.4553383954
242	0.4548028216
243	0.4539282962
244	0.4531540336
245	0.452718271
246	0.4522363772
247	0.4516815121
248	0.4509058624
249	0.4504049999
250	0.4498577481
251	0.448954931
252	0.4481737972
253	0.4475965439
254	0.4469737079
255	0.4465276545
256	0.4462122201
257	0.4457946197
258	0.4451963332
259	0.4444668469
260	0.4438969489
261	0.4430358758
262	0.4426966984
263	0.4421188
264	0.4416247765
