iter	Passed	Remaining
0	2	2902
1	5	2680
2	7	2518
3	9	2449
4	11	2381
5	14	2330
6	16	2307
7	18	2236
8	20	2244
9	22	2217
10	24	2182
11	26	2190
12	28	2179
13	30	2175
14	33	2224
15	36	2266
16	39	2297
17	42	2296
18	44	2310
19	47	2318
20	50	2334
21	52	2328
22	55	2342
23	57	2342
24	60	2352
25	62	2353
26	65	2357
27	68	2369
28	71	2401
29	74	2424
30	77	2429
31	80	2435
32	83	2434
33	85	2437
34	88	2444
35	91	2449
36	94	2447
37	96	2451
38	100	2471
39	103	2486
40	106	2492
41	109	2488
42	111	2486
43	114	2482
44	116	2477
45	118	2460
46	120	2439
47	122	2424
48	123	2404
49	125	2383
50	127	2364
51	129	2355
52	131	2348
53	133	2330
54	135	2323
55	137	2324
56	139	2313
57	141	2303
58	143	2288
59	144	2271
60	146	2256
61	148	2246
62	150	2231
63	151	2217
64	153	2204
65	155	2196
66	156	2184
67	158	2172
68	160	2161
69	162	2161
70	164	2150
71	165	2139
72	167	2130
73	170	2129
74	172	2128
75	174	2122
76	176	2112
77	177	2103
78	179	2093
79	181	2087
80	183	2077
81	184	2068
82	186	2060
83	188	2055
84	190	2047
85	191	2038
86	193	2034
87	196	2034
88	197	2026
89	199	2018
90	201	2017
91	204	2014
92	206	2011
93	208	2006
94	209	1998
95	211	1989
96	212	1982
97	214	1978
98	216	1970
99	218	1962
100	220	1958
101	222	1954
102	223	1948
103	225	1942
104	228	1943
105	230	1943
106	232	1940
107	234	1934
108	236	1930
109	238	1929
110	240	1928
111	242	1922
112	243	1914
113	245	1908
114	247	1905
115	249	1899
116	250	1893
117	252	1887
118	254	1883
119	256	1877
120	257	1873
121	260	1873
122	262	1868
123	263	1862
124	265	1856
125	267	1852
126	268	1847
127	271	1846
128	273	1846
129	275	1842
130	276	1837
131	278	1831
132	280	1827
133	281	1822
134	283	1816
135	285	1812
136	287	1809
137	288	1804
138	291	1804
139	293	1800
140	294	1795
141	296	1790
142	297	1784
143	299	1783
144	301	1778
145	303	1774
146	305	1774
147	308	1774
148	309	1769
149	311	1765
150	313	1761
151	314	1756
152	316	1752
153	318	1748
154	320	1746
155	322	1744
156	324	1741
157	326	1738
158	327	1734
159	330	1732
160	332	1730
161	334	1728
162	335	1723
163	337	1720
164	339	1720
165	342	1718
166	343	1714
167	345	1711
168	347	1707
169	348	1703
170	350	1699
171	352	1696
172	354	1694
173	356	1692
174	358	1689
175	360	1687
176	361	1682
177	363	1678
178	365	1675
179	366	1671
180	368	1667
181	370	1663
182	372	1662
183	375	1663
184	376	1660
185	378	1657
186	380	1653
187	381	1649
188	383	1646
189	385	1643
190	387	1643
191	390	1641
192	391	1638
193	393	1634
194	394	1630
195	396	1626
196	398	1623
197	400	1621
198	401	1617
199	403	1613
200	405	1612
201	408	1612
202	410	1610
203	411	1607
204	413	1603
205	415	1600
206	416	1596
207	418	1594
208	421	1593
209	422	1590
210	424	1587
211	426	1584
212	427	1580
213	429	1577
214	431	1574
215	432	1571
216	434	1567
217	436	1564
218	437	1560
219	439	1559
220	442	1558
221	444	1556
222	445	1553
223	447	1550
224	449	1546
225	450	1543
226	453	1543
227	454	1539
228	456	1536
229	458	1534
230	459	1531
231	461	1528
232	463	1525
233	465	1524
234	468	1523
235	469	1520
236	471	1518
237	473	1517
238	476	1516
239	478	1515
240	480	1513
241	482	1512
242	485	1512
243	487	1509
244	488	1506
245	490	1503
246	492	1501
247	494	1498
248	495	1495
249	498	1494
250	499	1491
251	501	1488
252	502	1484
253	504	1482
254	507	1481
255	509	1480
256	511	1479
257	513	1476
258	515	1474
259	517	1473
260	519	1470
261	521	1467
262	522	1464
263	524	1462
264	526	1459
265	527	1456
266	529	1454
267	531	1452
268	533	1449
269	534	1446
270	536	1443
271	538	1441
272	541	1441
273	544	1442
274	546	1442
275	549	1441
276	551	1440
277	554	1439
278	556	1438
279	558	1436
280	560	1435
281	562	1432
282	564	1430
283	566	1427
284	567	1424
285	570	1423
286	572	1421
287	574	1420
288	577	1419
289	578	1416
290	580	1415
291	582	1413
292	584	1411
293	586	1408
294	587	1405
295	590	1403
296	591	1400
297	593	1397
298	594	1394
299	596	1392
300	598	1390
301	600	1387
302	602	1385
303	603	1382
304	605	1379
305	607	1378
306	610	1377
307	612	1376
308	615	1375
309	617	1373
310	618	1371
311	620	1368
312	622	1365
313	624	1363
314	625	1360
315	628	1359
316	630	1357
317	632	1356
318	634	1354
319	636	1353
320	639	1352
321	641	1350
322	644	1350
323	646	1348
324	648	1346
325	649	1343
326	651	1341
327	653	1338
328	654	1335
329	656	1332
330	658	1330
331	660	1329
332	662	1327
333	664	1325
334	666	1322
335	667	1319
336	669	1317
337	671	1314
338	673	1312
339	675	1311
340	678	1310
341	679	1308
342	681	1305
343	683	1302
344	684	1300
345	686	1297
346	688	1295
347	690	1293
348	692	1291
349	693	1288
350	695	1286
351	697	1283
352	699	1281
353	701	1280
354	703	1277
355	704	1275
356	706	1272
357	709	1272
358	711	1270
359	713	1268
360	714	1265
361	716	1263
362	718	1261
363	721	1260
364	723	1259
365	725	1256
366	727	1254
367	728	1251
368	730	1249
369	732	1246
370	733	1244
371	735	1241
372	737	1239
373	738	1236
374	741	1235
375	744	1235
376	746	1233
377	747	1230
378	749	1228
379	751	1225
380	752	1223
381	754	1221
382	756	1218
383	758	1216
384	759	1213
385	761	1211
386	763	1208
387	764	1206
388	766	1204
389	768	1201
390	770	1199
391	772	1197
392	774	1196
393	777	1195
394	779	1193
395	781	1191
396	783	1189
397	785	1187
398	786	1185
399	788	1182
400	790	1180
401	792	1178
402	793	1176
403	795	1173
404	797	1171
405	798	1168
406	800	1166
407	802	1164
408	804	1162
409	806	1160
410	809	1159
411	811	1158
412	813	1156
413	815	1154
414	817	1152
415	818	1149
416	820	1147
417	822	1145
418	824	1143
419	826	1141
420	828	1139
421	830	1137
422	831	1134
423	833	1132
424	835	1130
425	838	1129
426	840	1127
427	842	1126
428	845	1124
429	847	1123
430	849	1121
431	850	1118
432	852	1116
433	854	1114
434	856	1112
435	858	1110
436	860	1108
437	861	1105
438	863	1103
439	865	1101
440	867	1099
441	870	1098
442	872	1096
443	874	1095
444	876	1093
445	878	1091
446	881	1090
447	883	1088
448	884	1085
449	886	1084
450	888	1081
451	890	1079
452	892	1077
453	894	1075
454	895	1073
455	897	1070
456	900	1069
457	903	1069
458	906	1067
459	908	1066
460	910	1064
461	912	1062
462	915	1061
463	917	1059
464	919	1057
465	921	1055
466	922	1053
467	924	1051
468	926	1048
469	928	1046
470	929	1044
471	931	1042
472	934	1040
473	936	1038
474	937	1036
475	939	1034
476	941	1032
477	943	1030
478	946	1029
479	948	1027
480	950	1025
481	952	1023
482	954	1021
483	956	1019
484	957	1016
485	959	1014
486	961	1012
487	962	1010
488	964	1008
489	967	1006
490	968	1004
491	970	1001
492	972	999
493	973	997
494	975	995
495	977	993
496	979	991
497	981	989
498	983	987
499	985	985
500	986	982
501	988	980
502	990	978
503	991	976
504	993	973
505	995	971
506	997	969
507	999	968
508	1001	965
509	1003	963
510	1004	961
511	1006	959
512	1008	957
513	1009	954
514	1012	953
515	1014	951
516	1016	949
517	1018	947
518	1019	945
519	1021	942
520	1023	940
521	1024	938
522	1026	936
523	1028	934
524	1031	932
525	1032	930
526	1034	928
527	1036	926
528	1038	924
529	1039	921
530	1041	919
531	1042	917
532	1045	915
533	1047	914
534	1049	912
535	1051	910
536	1053	907
537	1055	906
538	1057	904
539	1059	902
540	1060	899
541	1062	897
542	1064	895
543	1065	893
544	1067	891
545	1069	889
546	1071	887
547	1074	886
548	1075	883
549	1077	881
550	1079	879
551	1081	877
552	1082	875
553	1084	873
554	1086	871
555	1089	869
556	1090	867
557	1092	865
558	1094	863
559	1095	861
560	1097	858
561	1099	856
562	1101	854
563	1103	853
564	1106	851
565	1108	849
566	1109	847
567	1111	845
568	1113	843
569	1114	841
570	1117	839
571	1119	837
572	1121	835
573	1123	833
574	1125	831
575	1127	829
576	1128	827
577	1130	825
578	1132	823
579	1134	821
580	1135	819
581	1138	817
582	1140	815
583	1142	814
584	1144	812
585	1146	810
586	1148	807
587	1150	805
588	1152	804
589	1154	802
590	1156	800
591	1157	797
592	1159	795
593	1161	793
594	1163	791
595	1164	789
596	1166	787
597	1168	785
598	1169	783
599	1171	781
600	1174	779
601	1176	777
602	1177	775
603	1179	773
604	1181	771
605	1183	769
606	1185	767
607	1187	765
608	1189	763
609	1190	761
610	1192	759
611	1193	756
612	1195	754
613	1197	752
614	1198	750
615	1200	748
616	1202	746
617	1204	744
618	1206	742
619	1208	740
620	1210	738
621	1212	736
622	1213	734
623	1216	732
624	1218	730
625	1220	728
626	1221	726
627	1223	724
628	1224	722
629	1226	720
630	1228	718
631	1230	716
632	1231	714
633	1233	712
634	1235	710
635	1237	708
636	1239	706
637	1241	704
638	1243	702
639	1245	700
640	1247	698
641	1249	696
642	1251	694
643	1253	692
644	1255	690
645	1256	688
646	1258	686
647	1260	684
648	1261	682
649	1263	680
650	1264	678
651	1266	676
652	1268	674
653	1270	671
654	1271	669
